Player,Career Span,Start,End,Matches_Played,Innings_Batted,Not_Outs,Runs_Scored,Highest_Innings_Score,Highest_Innings_Score_Num,Batting_Avg,Balls_Faced,Strike_Rate,100_Scored,50_Scored,Ducks,4sBoundary,6sBoundary,Country,RandX,RandY
R Dhawan ,2016-2016,2016,2016,1,1,1,1,1*,1,-,2,50,0,0,0,0,0,India,72,732
DS Kulkarni ,2016-2016,2016,2016,2,1,1,1,1*,1,-,1,100,0,0,0,0,0,India,694,812
Sandeep Sharma ,2015-2015,2015,2015,2,1,1,1,1*,1,-,1,100,0,0,0,0,0,India,233,856
PP Chawla ,2010-2012,2010,2012,7,1,0,0,0,0,0,1,0,0,0,1,0,0,India,391,663
A Mishra ,2010-2017,2010,2017,10,1,0,0,0,0,0,0,-,0,0,1,0,0,India,409,878
MM Patel ,2011-2011,2011,2011,3,1,0,0,0,0,0,1,0,0,0,1,0,0,India,924,1086
Washington Sundar ,2017-2018,2017,2018,7,1,1,0,0*,0,-,0,-,0,0,0,0,0,India,794,14
KK Ahmed ,2018-2018,2018,2018,6,-,-,-,-,-,-,-,-,-,-,-,-,-,India,117,1089
S Aravind ,2015-2015,2015,2015,1,-,-,-,-,-,-,-,-,-,-,-,-,-,India,447,565
P Awana ,2012-2012,2012,2012,2,-,-,-,-,-,-,-,-,-,-,-,-,-,India,212,338
L Balaji ,2012-2012,2012,2012,5,-,-,-,-,-,-,-,-,-,-,-,-,-,India,338,516
DL Chahar ,2018-2018,2018,2018,1,-,-,-,-,-,-,-,-,-,-,-,-,-,India,766,82
Joginder Sharma ,2007-2007,2007,2007,4,-,-,-,-,-,-,-,-,-,-,-,-,-,India,197,243
M Kartik ,2007-2007,2007,2007,1,-,-,-,-,-,-,-,-,-,-,-,-,-,India,18,496
S Kaul ,2018-2018,2018,2018,2,-,-,-,-,-,-,-,-,-,-,-,-,-,India,975,1002
Mohammed Shami ,2014-2017,2014,2017,7,-,-,-,-,-,-,-,-,-,-,-,-,-,India,544,591
Mohammed Siraj ,2017-2018,2017,2018,3,-,-,-,-,-,-,-,-,-,-,-,-,-,India,174,621
P Negi ,2016-2016,2016,2016,1,-,-,-,-,-,-,-,-,-,-,-,-,-,India,98,655
KV Sharma ,2014-2014,2014,2014,1,-,-,-,-,-,-,-,-,-,-,-,-,-,India,963,992
R Sharma ,2012-2012,2012,2012,2,-,-,-,-,-,-,-,-,-,-,-,-,-,India,773,131
BB Sran ,2016-2016,2016,2016,2,-,-,-,-,-,-,-,-,-,-,-,-,-,India,24,355
SN Thakur ,2018-2018,2018,2018,7,-,-,-,-,-,-,-,-,-,-,-,-,-,India,960,428
S Tyagi ,2009-2009,2009,2009,1,-,-,-,-,-,-,-,-,-,-,-,-,-,India,1080,146
JD Unadkat ,2016-2018,2016,2018,10,-,-,-,-,-,-,-,-,-,-,-,-,-,India,1095,891
UT Yadav ,2012-2018,2012,2018,6,-,-,-,-,-,-,-,-,-,-,-,-,-,India,187,198
Shoaib Malik ,2006-2018,2006,2018,107,100,30,2178,75,75,31.11,1763,123.53,0,7,1,177,60,Pakistan,885,612
Mohammad Hafeez ,2006-2018,2006,2018,89,86,8,1908,86,86,24.46,1643,116.12,0,10,6,196,51,Pakistan,148,619
Umar Akmal ,2009-2016,2009,2016,82,77,14,1690,94,94,26.82,1375,122.9,0,8,8,122,55,Pakistan,254,1006
Ahmed Shehzad ,2009-2018,2009,2018,57,57,2,1454,111*,111,26.43,1257,115.67,1,7,2,157,32,Pakistan,613,944
Shahid Afridi ,2006-2016,2006,2016,98,90,12,1405,54*,54,18.01,932,150.75,0,4,8,102,73,Pakistan,505,611
Babar Azam ,2016-2018,2016,2018,26,26,7,1031,97*,97,54.26,829,124.36,0,8,0,98,13,Pakistan,898,480
Kamran Akmal ,2006-2017,2006,2017,58,53,6,987,73,73,21,825,119.63,0,5,7,100,31,Pakistan,757,382
Misbah-ul-Haq ,2007-2012,2007,2012,39,34,13,788,87*,87,37.52,715,110.2,0,3,2,45,26,Pakistan,1088,144
Sarfraz Ahmed ,2010-2018,2010,2018,54,38,12,745,89*,89,28.65,579,128.67,0,3,2,74,14,Pakistan,882,895
Fakhar Zaman ,2017-2018,2017,2018,26,25,0,706,91,91,28.24,505,139.8,0,4,0,79,21,Pakistan,131,872
Salman Butt ,2007-2010,2007,2010,24,23,2,595,74,74,28.33,551,107.98,0,3,1,66,10,Pakistan,191,511
Imran Nazir ,2007-2012,2007,2012,25,24,1,500,72,72,21.73,370,135.13,0,3,2,59,22,Pakistan,306,830
Younis Khan ,2006-2010,2006,2010,25,23,3,442,51,51,22.1,364,121.42,0,2,2,31,12,Pakistan,45,91
Abdul Razzaq ,2006-2013,2006,2013,32,29,10,393,46*,46,20.68,337,116.61,0,0,2,21,21,Pakistan,1043,1044
Nasir Jamshed ,2012-2013,2012,2013,18,18,1,363,56,56,21.35,320,113.43,0,2,1,34,12,Pakistan,87,988
Sharjeel Khan ,2013-2016,2013,2016,15,15,0,360,59,59,24,262,137.4,0,2,0,48,13,Pakistan,786,959
Hussain Talat ,2018-2018,2018,2018,11,11,1,273,63,63,27.3,232,117.67,0,1,1,23,4,Pakistan,170,278
Asif Ali ,2018-2018,2018,2018,16,15,6,237,41*,41,26.33,171,138.59,0,0,1,11,15,Pakistan,743,416
Khalid Latif ,2008-2016,2008,2016,13,13,2,237,59*,59,21.54,229,103.49,0,1,1,25,6,Pakistan,543,6
Sohaib Maqsood ,2013-2016,2013,2016,20,18,2,221,37,37,13.81,201,109.95,0,0,2,15,8,Pakistan,701,825
Sohail Tanvir ,2007-2017,2007,2017,57,25,8,196,41,41,11.52,164,119.51,0,0,2,16,9,Pakistan,952,535
Fawad Alam ,2007-2010,2007,2010,24,17,6,194,28,28,17.63,169,114.79,0,0,1,7,7,Pakistan,371,592
Asad Shafiq ,2010-2012,2010,2012,10,10,0,192,38,38,19.2,185,103.78,0,0,0,19,2,Pakistan,792,356
Mukhtar Ahmed ,2015-2015,2015,2015,6,6,0,192,83,83,32,134,143.28,0,2,0,23,5,Pakistan,715,1080
Umar Gul ,2007-2016,2007,2016,60,27,9,165,32,32,9.16,156,105.76,0,0,6,11,10,Pakistan,968,655
Umar Amin ,2013-2018,2013,2018,14,9,0,142,47,47,15.77,123,115.44,0,0,3,15,4,Pakistan,125,527
Imad Wasim ,2015-2018,2015,2018,31,19,8,140,24*,24,12.72,92,152.17,0,0,5,10,7,Pakistan,290,568
Wahab Riaz ,2008-2017,2008,2017,27,14,4,126,30*,30,12.6,107,117.75,0,0,2,9,5,Pakistan,1071,476
Shahzaib Hasan ,2009-2010,2009,2010,10,10,0,116,35,35,11.6,130,89.23,0,0,3,13,3,Pakistan,837,1077
Anwar Ali ,2008-2016,2008,2016,16,11,4,109,46,46,15.57,77,141.55,0,0,0,6,6,Pakistan,848,276
Mohammad Rizwan ,2015-2016,2015,2016,10,7,1,106,33*,33,17.66,109,97.24,0,0,0,9,1,Pakistan,391,808
Faheem Ashraf ,2017-2018,2017,2018,23,14,6,96,21,21,12,79,121.51,0,0,4,5,6,Pakistan,187,1086
Yasir Arafat ,2007-2012,2007,2012,13,11,4,92,17,17,13.14,79,116.45,0,0,0,8,2,Pakistan,33,340
Saeed Ajmal ,2009-2015,2009,2015,64,23,12,91,21*,21,8.27,86,105.81,0,0,3,7,2,Pakistan,255,440
Haris Sohail ,2013-2018,2013,2018,9,8,2,90,30*,30,15,87,103.44,0,0,1,6,1,Pakistan,362,1007
Shadab Khan ,2017-2018,2017,2018,29,8,2,86,29,29,14.33,68,126.47,0,0,1,4,3,Pakistan,31,56
Imran Farhat ,2010-2011,2010,2011,7,7,0,76,19,19,10.85,70,108.57,0,0,1,14,0,Pakistan,1104,1091
Awais Zia ,2012-2014,2012,2014,5,5,0,70,23,23,14,80,87.5,0,0,0,4,3,Pakistan,1052,1089
Shoaib Khan jnr ,2008-2008,2008,2008,4,4,0,65,50,50,16.25,74,87.83,0,1,1,7,0,Pakistan,955,780
Mohammad Yousuf ,2006-2010,2006,2010,3,3,0,50,26,26,16.66,43,116.27,0,0,0,5,1,Pakistan,26,956
Hasan Ali ,2016-2018,2016,2018,27,7,4,49,23,23,16.33,28,175,0,0,2,3,4,Pakistan,116,29
Mohammad Amir ,2009-2018,2009,2018,41,10,4,44,21*,21,7.33,57,77.19,0,0,1,1,2,Pakistan,713,686
Saad Nasim ,2014-2014,2014,2014,3,2,0,44,25,25,22,53,83.01,0,0,0,0,1,Pakistan,850,946
Sahibzada Farhan ,2018-2018,2018,2018,3,3,0,40,39,39,13.33,46,86.95,0,0,1,2,3,Pakistan,934,207
Rafatullah Mohmand ,2015-2015,2015,2015,3,3,0,39,23,23,13,45,86.66,0,0,1,4,0,Pakistan,1025,81
Hammad Azam ,2012-2013,2012,2013,5,4,1,34,21,21,11.33,34,100,0,0,0,3,1,Pakistan,223,864
Zulfiqar Babar ,2013-2014,2013,2014,7,3,3,27,13*,13,-,27,100,0,0,0,2,1,Pakistan,290,301
Rameez Raja ,2011-2011,2011,2011,2,2,0,24,23,23,12,29,82.75,0,0,0,2,0,Pakistan,937,1102
Bilawal Bhatti ,2013-2015,2013,2015,9,4,2,23,13*,13,11.5,14,164.28,0,0,1,2,1,Pakistan,1017,566
Zulqarnain Haider ,2007-2010,2007,2010,3,3,0,23,17,17,7.66,30,76.66,0,0,0,1,0,Pakistan,1038,1052
Abdur Rehman ,2007-2013,2007,2013,8,5,3,22,7*,7,11,29,75.86,0,0,0,0,0,Pakistan,606,532
Mohammad Sami ,2010-2016,2010,2016,13,4,3,21,8,8,21,30,70,0,0,0,2,0,Pakistan,803,290
Shoaib Akhtar ,2006-2010,2006,2010,15,6,3,21,8*,8,7,16,131.25,0,0,1,2,1,Pakistan,1013,425
Nauman Anwar ,2015-2015,2015,2015,1,1,0,18,18,18,18,10,180,0,0,0,2,1,Pakistan,434,1013
Naved-ul-Hasan ,2006-2010,2006,2010,4,2,1,18,17*,17,18,16,112.5,0,0,0,0,2,Pakistan,754,173
Raza Hasan ,2012-2014,2012,2014,10,4,4,18,13*,13,-,25,72,0,0,0,2,0,Pakistan,366,371
Aamer Yamin ,2015-2018,2015,2018,2,1,1,15,15*,15,-,6,250,0,0,0,1,1,Pakistan,226,554
Mohammad Nawaz ,2016-2018,2016,2018,16,2,0,13,7,7,6.5,20,65,0,0,0,1,0,Pakistan,126,755
Inzamam-ul-Haq ,2006-2006,2006,2006,1,1,1,11,11*,11,-,15,73.33,0,0,0,0,1,Pakistan,814,68
Khurram Manzoor ,2016-2016,2016,2016,3,3,0,11,10,10,3.66,27,40.74,0,0,1,1,0,Pakistan,104,905
Yasir Shah ,2011-2011,2011,2011,2,1,1,11,11*,11,-,7,157.14,0,0,0,1,0,Pakistan,244,32
Mohammad Asif ,2006-2010,2006,2010,11,3,3,9,5*,5,-,3,300,0,0,0,2,0,Pakistan,231,971
Mohammad Salman ,2011-2011,2011,2011,1,1,0,5,5,5,5,6,83.33,0,0,0,0,0,Pakistan,1096,255
Mohammad Irfan ,2012-2016,2012,2016,20,4,4,4,2*,2,-,8,50,0,0,0,0,0,Pakistan,720,209
Junaid Khan ,2011-2014,2011,2014,9,2,2,3,3*,3,-,4,75,0,0,0,0,0,Pakistan,907,47
Usman Shinwari ,2013-2018,2013,2018,13,2,2,2,2*,2,-,3,66.66,0,0,0,0,0,Pakistan,17,259
Sohail Khan ,2008-2017,2008,2017,5,1,1,1,1*,1,-,1,100,0,0,0,0,0,Pakistan,991,826
Aizaz Cheema ,2011-2012,2011,2012,5,1,1,0,0*,0,-,3,0,0,0,0,0,0,Pakistan,580,914
Iftikhar Ahmed ,2016-2016,2016,2016,1,1,1,0,0*,0,-,0,-,0,0,0,0,0,Pakistan,54,472
Imran Khan ,2015-2015,2015,2015,3,1,0,0,0,0,0,1,0,0,0,1,0,0,Pakistan,566,215
Rumman Raees ,2016-2018,2016,2018,8,1,1,0,0*,0,-,0,-,0,0,0,0,0,Pakistan,449,713
Shakeel Ansar ,2012-2012,2012,2012,2,1,0,0,0,0,0,1,0,0,0,1,0,0,Pakistan,364,68
Abdur Rauf ,2008-2008,2008,2008,1,-,-,-,-,-,-,-,-,-,-,-,-,-,Pakistan,884,117
Asad Ali ,2013-2013,2013,2013,2,-,-,-,-,-,-,-,-,-,-,-,-,-,Pakistan,1064,676
Iftikhar Anjum ,2007-2009,2007,2009,2,-,-,-,-,-,-,-,-,-,-,-,-,-,Pakistan,613,849
Mansoor Amjad ,2008-2008,2008,2008,1,-,-,-,-,-,-,-,-,-,-,-,-,-,Pakistan,507,370
Shabbir Ahmed ,2007-2007,2007,2007,1,-,-,-,-,-,-,-,-,-,-,-,-,-,Pakistan,219,921
Shaheen Shah Afridi ,2018-2018,2018,2018,7,-,-,-,-,-,-,-,-,-,-,-,-,-,Pakistan,40,1067
Tanvir Ahmed ,2010-2010,2010,2010,1,-,-,-,-,-,-,-,-,-,-,-,-,-,Pakistan,605,137
Waqas Maqsood ,2018-2018,2018,2018,1,-,-,-,-,-,-,-,-,-,-,-,-,-,Pakistan,916,219
TM Dilshan ,2006-2016,2006,2016,80,79,12,1889,104*,104,28.19,1567,120.54,1,13,10,223,33,Sri Lanka,660,228
DPMD Jayawardene ,2006-2014,2006,2014,55,55,8,1493,100,100,31.76,1121,133.18,1,9,4,173,33,Sri Lanka,229,807
KC Sangakkara ,2006-2014,2006,2014,56,53,9,1382,78,78,31.4,1156,119.55,0,8,2,139,20,Sri Lanka,909,199
AD Mathews ,2009-2018,2009,2018,72,57,18,1055,81*,81,27.05,893,118.14,0,5,1,67,35,Sri Lanka,316,15
MDKJ Perera ,2013-2018,2013,2018,35,35,0,1023,84,84,29.22,743,137.68,0,10,0,102,38,Sri Lanka,300,516
NLTC Perera ,2010-2018,2010,2018,71,62,20,920,58,58,21.9,619,148.62,0,2,8,71,46,Sri Lanka,163,532
LD Chandimal ,2010-2018,2010,2018,54,47,4,800,58,58,18.6,766,104.43,0,4,0,73,16,Sri Lanka,187,888
CK Kapugedera ,2006-2017,2006,2017,43,38,7,703,50,50,22.67,591,118.95,0,1,0,58,25,Sri Lanka,795,376
ST Jayasuriya ,2006-2011,2006,2011,31,30,3,629,88,88,23.29,487,129.15,0,4,4,76,23,Sri Lanka,915,2
WU Tharanga ,2006-2018,2006,2018,26,26,1,407,47,47,16.28,330,123.33,0,0,3,42,12,Sri Lanka,171,910
BKG Mendis ,2016-2018,2016,2018,16,16,0,333,70,70,20.81,223,149.32,0,4,0,29,16,Sri Lanka,651,793
MD Shanaka ,2015-2018,2015,2018,26,26,5,329,54,54,15.66,291,113.05,0,1,6,23,19,Sri Lanka,498,1018
MD Gunathilaka ,2016-2018,2016,2018,15,15,0,310,51,51,20.66,248,125,0,1,0,29,10,Sri Lanka,353,1083
HDRL Thirimanne ,2012-2016,2012,2016,26,20,2,291,44,44,16.16,267,108.98,0,0,1,27,5,Sri Lanka,825,895
TAM Siriwardana ,2015-2017,2015,2017,22,19,3,275,42,42,17.18,208,132.21,0,0,4,16,12,Sri Lanka,388,661
N Dickwella ,2016-2018,2016,2018,14,13,0,252,68,68,19.38,186,135.48,0,1,0,37,5,Sri Lanka,335,399
J Mubarak ,2007-2009,2007,2009,16,15,4,238,46*,46,21.63,188,126.59,0,0,2,21,8,Sri Lanka,627,188
DAS Gunaratne ,2016-2017,2016,2017,12,12,3,225,84*,84,25,178,126.4,0,2,2,19,6,Sri Lanka,494,20
DM de Silva ,2015-2018,2015,2018,9,9,0,215,62,62,23.88,199,108.04,0,1,0,16,4,Sri Lanka,401,213
KMDN Kulasekara ,2008-2017,2008,2017,58,30,9,215,31,31,10.23,184,116.84,0,0,4,14,7,Sri Lanka,924,326
EMDY Munaweera ,2012-2017,2012,2017,13,13,1,215,53,53,17.91,164,131.09,0,1,1,25,7,Sri Lanka,367,336
S Prasanna ,2013-2017,2013,2017,20,20,6,214,37*,37,15.28,161,132.91,0,0,0,13,13,Sri Lanka,671,828
BMAJ Mendis ,2011-2018,2011,2018,22,15,4,207,43*,43,18.81,174,118.96,0,0,1,18,6,Sri Lanka,771,858
LPC Silva ,2006-2011,2006,2011,16,15,2,175,38,38,13.46,177,98.87,0,0,0,19,3,Sri Lanka,3,762
GSNFG Jayasuriya ,2015-2016,2015,2016,11,10,0,157,40,40,15.7,141,111.34,0,0,0,11,7,Sri Lanka,5,860
ML Udawatte ,2008-2017,2008,2017,8,8,0,96,25,25,12,87,110.34,0,0,2,10,2,Sri Lanka,593,490
S Samarawickrama ,2017-2017,2017,2017,5,5,0,85,32,32,17,80,106.25,0,0,0,8,0,Sri Lanka,113,803
SL Malinga ,2006-2018,2006,2018,69,22,8,78,27,27,5.57,101,77.22,0,0,5,3,3,Sri Lanka,154,619
SMSM Senanayake ,2012-2016,2012,2016,24,12,6,56,17,17,9.33,66,84.84,0,0,2,3,1,Sri Lanka,854,698
SMA Priyanjan ,2017-2017,2017,2017,3,3,2,54,40*,40,54,62,87.09,0,0,0,1,2,Sri Lanka,329,1011
CU Jayasinghe ,2009-2010,2009,2010,5,3,2,49,38,38,49,49,100,0,0,0,3,1,Sri Lanka,918,463
K Weeraratne ,2008-2009,2008,2009,5,5,2,49,20*,20,16.33,45,108.88,0,0,0,4,1,Sri Lanka,749,874
I Udana ,2009-2018,2009,2018,18,10,5,41,19*,19,8.2,36,113.88,0,0,2,4,1,Sri Lanka,585,444
KDK Vithanage ,2014-2016,2014,2016,3,3,0,40,38,38,13.33,34,117.64,0,0,0,7,0,Sri Lanka,331,613
MF Maharoof ,2006-2016,2006,2016,8,5,1,33,13*,13,8.25,43,76.74,0,0,1,0,1,Sri Lanka,429,1099
RJMGM Rupasinghe ,2009-2009,2009,2009,2,2,0,33,18,18,16.5,39,84.61,0,0,0,2,0,Sri Lanka,167,396
WPUJC Vaas ,2006-2007,2006,2007,6,2,1,33,21,21,33,41,80.48,0,0,0,1,0,Sri Lanka,52,855
PVD Chameera ,2015-2018,2015,2018,19,10,6,31,12,12,7.75,40,77.5,0,0,2,3,0,Sri Lanka,449,319
A Dananjaya ,2012-2018,2012,2018,16,7,3,31,11*,11,7.75,36,86.11,0,0,0,3,0,Sri Lanka,924,149
SS Pathirana ,2016-2017,2016,2017,5,5,0,27,14,14,5.4,24,112.5,0,0,0,3,0,Sri Lanka,567,816
CRD Fernando ,2006-2016,2006,2016,18,7,2,25,21,21,5,27,92.59,0,0,2,4,0,Sri Lanka,439,1028
PHKD Mendis ,2018-2018,2018,2018,1,1,0,24,24,24,24,14,171.42,0,0,0,3,1,Sri Lanka,405,116
PC de Silva ,2017-2017,2017,2017,2,2,0,22,21,21,11,22,100,0,0,0,1,0,Sri Lanka,921,399
JRMVB Sanjaya ,2017-2017,2017,2017,8,5,2,20,6,6,6.66,18,111.11,0,0,0,3,0,Sri Lanka,499,554
HGJM Kulatunga ,2008-2008,2008,2008,2,2,0,19,11,11,9.5,38,50,0,0,0,0,0,Sri Lanka,173,664
RLB Rambukwella ,2013-2016,2013,2016,2,1,0,19,19,19,19,16,118.75,0,0,0,1,1,Sri Lanka,800,280
LHD Dilhara ,2008-2008,2008,2008,2,1,1,18,18*,18,-,9,200,0,0,0,0,1,Sri Lanka,418,508
JDF Vandersay ,2015-2016,2015,2016,7,5,4,15,8*,8,15,17,88.23,0,0,0,2,0,Sri Lanka,367,247
SHT Kandamby ,2008-2011,2008,2011,5,4,0,13,10,10,3.25,21,61.9,0,0,1,0,0,Sri Lanka,250,85
HMCM Bandara ,2006-2009,2006,2009,4,3,1,12,7,7,6,15,80,0,0,0,0,0,Sri Lanka,323,222
KS Lokuarachchi ,2012-2012,2012,2012,2,2,0,11,11,11,5.5,13,84.61,0,0,1,1,0,Sri Lanka,462,1106
B Fernando ,2015-2015,2015,2015,2,1,1,8,8*,8,-,12,66.66,0,0,0,1,0,Sri Lanka,723,634
HMRKB Herath ,2011-2016,2011,2016,17,6,3,8,3,3,2.66,12,66.66,0,0,0,0,0,Sri Lanka,843,899
S Randiv ,2010-2011,2010,2011,7,2,0,8,6,6,4,6,133.33,0,0,0,1,0,Sri Lanka,861,910
BAW Mendis ,2008-2014,2008,2014,39,8,5,8,4*,4,2.66,17,47.05,0,0,0,1,0,Sri Lanka,1052,740
RP Arnold ,2006-2006,2006,2006,1,1,0,7,7,7,7,7,100,0,0,0,0,0,Sri Lanka,473,344
RAS Lakmal ,2011-2018,2011,2018,10,5,3,7,5*,5,3.5,8,87.5,0,0,1,1,0,Sri Lanka,14,756
RMS Eranga ,2012-2013,2012,2013,3,1,0,6,6,6,6,7,85.71,0,0,0,1,0,Sri Lanka,913,252
MS Atapattu ,2006-2006,2006,2006,2,1,0,5,5,5,5,8,62.5,0,0,0,0,0,Sri Lanka,893,281
AK Perera ,2013-2014,2013,2014,2,1,0,4,4,4,4,8,50,0,0,0,0,0,Sri Lanka,436,894
T Thushara ,2008-2010,2008,2010,6,2,0,4,3,3,2,8,50,0,0,0,0,0,Sri Lanka,1095,741
ST de Silva ,2017-2017,2017,2017,3,2,0,3,3,3,1.5,7,42.85,0,0,1,0,0,Sri Lanka,540,346
CAK Rajitha ,2016-2018,2016,2018,4,2,2,3,3*,3,-,12,25,0,0,0,0,0,Sri Lanka,780,1079
KMC Bandara ,2016-2016,2016,2016,1,1,1,2,2*,2,-,4,50,0,0,0,0,0,Sri Lanka,1000,25
MVT Fernando ,2017-2017,2017,2017,1,1,0,2,2,2,2,2,100,0,0,0,0,0,Sri Lanka,313,176
UWMBCA Welegedara ,2010-2010,2010,2010,2,1,1,2,2*,2,-,3,66.66,0,0,0,0,0,Sri Lanka,785,268
M Muralitharan ,2006-2010,2006,2010,12,2,0,1,1,1,0.5,5,20,0,0,1,0,0,Sri Lanka,645,856
MDK Perera ,2011-2011,2011,2011,3,2,0,1,1,1,0.5,6,16.66,0,0,1,0,0,Sri Lanka,548,169
PADLR Sandakan ,2017-2018,2017,2018,5,1,1,1,1*,1,-,1,100,0,0,0,0,0,Sri Lanka,358,704
G Wijekoon ,2007-2007,2007,2007,3,2,1,1,1*,1,1,5,20,0,0,1,0,0,Sri Lanka,903,184
MA Aponso ,2018-2018,2018,2018,3,1,0,0,0,0,0,2,0,0,0,1,0,0,Sri Lanka,1034,496
N Pradeep ,2016-2018,2016,2018,9,4,3,0,0*,0,0,6,0,0,0,1,0,0,Sri Lanka,240,879
PDRL Perera ,2006-2006,2006,2006,2,2,2,0,0*,0,-,0,-,0,0,0,0,0,Sri Lanka,539,539
SI de Saram ,2009-2009,2009,2009,1,-,-,-,-,-,-,-,-,-,-,-,-,-,Sri Lanka,976,1034
DSK Madushanka ,2018-2018,2018,2018,2,-,-,-,-,-,-,-,-,-,-,-,-,-,Sri Lanka,643,404
KTGD Prasad ,2011-2011,2011,2011,1,-,-,-,-,-,-,-,-,-,-,-,-,-,Sri Lanka,264,94
M Pushpakumara ,2009-2009,2009,2009,1,-,-,-,-,-,-,-,-,-,-,-,-,-,Sri Lanka,237,1077
H Masakadza ,2006-2018,2006,2018,58,58,2,1516,93*,93,27.07,1295,117.06,0,10,0,139,58,Zimbabwe,649,369
E Chigumbura ,2006-2018,2006,2018,53,52,9,823,54*,54,19.13,579,142.14,0,3,6,58,48,Zimbabwe,1064,197
BRM Taylor ,2006-2018,2006,2018,30,30,5,660,75*,75,26.4,565,116.81,0,5,4,58,18,Zimbabwe,114,377
CJ Chibhabha ,2006-2018,2006,2018,33,32,0,621,67,67,19.4,570,108.94,0,5,3,72,12,Zimbabwe,989,363
MN Waller ,2011-2018,2011,2018,32,31,8,613,68,68,26.65,443,138.37,0,1,2,42,28,Zimbabwe,968,374
SC Williams ,2006-2018,2006,2018,26,26,2,563,58*,58,23.45,459,122.65,0,3,2,52,11,Zimbabwe,966,1014
V Sibanda ,2007-2016,2007,2016,26,26,1,511,59,59,20.44,503,101.59,0,1,3,52,11,Zimbabwe,483,1071
Sikandar Raza ,2013-2018,2013,2018,28,27,0,382,59,59,14.14,357,107,0,1,0,33,7,Zimbabwe,261,1023
T Taibu ,2007-2012,2007,2012,17,15,6,259,45*,45,28.77,257,100.77,0,0,2,19,2,Zimbabwe,239,59
SF Mire ,2018-2018,2018,2018,7,7,0,249,94,94,35.57,192,129.68,0,2,0,22,13,Zimbabwe,226,187
PJ Moor ,2016-2018,2016,2018,16,14,3,238,44,44,21.63,195,122.05,0,0,0,11,16,Zimbabwe,879,964
CR Ervine ,2010-2015,2010,2015,16,15,0,229,42,42,15.26,287,79.79,0,0,1,21,2,Zimbabwe,876,177
R Mutumbami ,2015-2016,2015,2016,14,14,3,173,43,43,15.72,168,102.97,0,0,1,11,8,Zimbabwe,932,677
CK Coventry ,2010-2015,2010,2015,13,12,2,127,30,30,12.7,90,141.11,0,0,2,14,6,Zimbabwe,1062,1085
TK Musakanda ,2018-2018,2018,2018,6,6,0,98,43,43,16.33,80,122.5,0,0,2,7,2,Zimbabwe,237,82
P Utseya ,2006-2015,2006,2015,35,21,9,94,13*,13,7.83,115,81.73,0,0,3,6,1,Zimbabwe,541,328
T Maruma ,2008-2016,2008,2016,10,10,4,86,23*,23,14.33,83,103.61,0,0,1,6,3,Zimbabwe,968,1088
S Matsikenyeri ,2006-2012,2006,2012,10,10,0,76,32,32,7.6,82,92.68,0,0,2,6,3,Zimbabwe,623,870
AG Cremer ,2008-2018,2008,2018,29,19,6,68,17,17,5.23,102,66.66,0,0,2,2,0,Zimbabwe,279,1038
LM Jongwe ,2015-2016,2015,2016,8,7,0,60,34,34,8.57,65,92.3,0,0,2,4,1,Zimbabwe,986,557
N Madziva ,2015-2016,2015,2016,9,7,4,60,28*,28,20,50,120,0,0,1,4,3,Zimbabwe,161,671
RP Burl ,2018-2018,2018,2018,4,4,0,57,30,30,14.25,70,81.42,0,0,0,3,0,Zimbabwe,169,555
C Zhuwao ,2008-2018,2008,2018,7,7,0,48,24,24,6.85,66,72.72,0,0,4,7,1,Zimbabwe,679,31
KM Dabengwa ,2006-2010,2006,2010,8,7,3,46,16*,16,11.5,40,115,0,0,0,4,2,Zimbabwe,666,1096
B Mavuta ,2018-2018,2018,2018,3,3,2,41,28,28,41,23,178.26,0,0,0,3,2,Zimbabwe,779,42
TS Chisoro ,2015-2018,2015,2018,12,6,2,40,14*,14,10,42,95.23,0,0,0,2,2,Zimbabwe,788,837
F Mutizwa ,2011-2012,2011,2012,3,3,0,38,22,22,12.66,36,105.55,0,0,1,3,0,Zimbabwe,837,965
GA Lamb ,2010-2010,2010,2010,5,4,2,32,14*,14,16,54,59.25,0,0,1,1,0,Zimbabwe,649,65
WP Masakadza ,2015-2018,2015,2018,9,6,3,25,6*,6,8.33,30,83.33,0,0,0,2,0,Zimbabwe,295,138
T Panyangara ,2013-2016,2013,2016,14,5,4,23,17*,17,23,17,135.29,0,0,0,1,2,Zimbabwe,246,930
RW Chakabva ,2008-2015,2008,2015,5,5,0,18,13,13,3.6,40,45,0,0,2,1,0,Zimbabwe,777,186
SW Masakadza ,2010-2013,2010,2013,7,5,1,18,9,9,4.5,24,75,0,0,1,1,0,Zimbabwe,641,700
CT Mutombodzi ,2013-2016,2013,2016,5,5,1,18,12*,12,4.5,24,75,0,0,1,1,0,Zimbabwe,252,771
CB Mpofu ,2008-2018,2008,2018,24,7,4,16,6*,6,5.33,30,53.33,0,0,2,0,1,Zimbabwe,299,68
TL Chatara ,2010-2018,2010,2018,13,2,0,15,8,8,7.5,17,88.23,0,0,0,1,0,Zimbabwe,1103,325
RW Price ,2008-2012,2008,2012,16,9,4,15,7*,7,3,28,53.57,0,0,1,1,0,Zimbabwe,234,352
DT Tiripano ,2016-2018,2016,2018,9,5,2,15,11*,11,5,22,68.18,0,0,2,0,1,Zimbabwe,862,1070
